,date,comp,round,team,day,venue,result,gf,ga,xg,xga,poss,opponent_gf,opponent_ga,opponent_xg,opponent_xga,opponent_poss,attendance,captain,opponent_captain,home_team_formation,away_team_formation,referee,sh,sot,dist,fk,pk,pkatt,opponent_sh,opponent_sot,opponent_dist,opponent_fk,opponent_pk,opponent_pkatt,season,opponent,team_salary,opponent_team_salary,gf_last_4_games,ga_last_4_games,xga_last_4_games,avg_points_last_4_games,opponent_gf_last_4_games,opponent_ga_last_4_games,opponent_xga_last_4_games,opponent_avg_points_last_4_games,team_overall,team_attack,team_midfield,team_defense,opponent_overall,opponent_attack,opponent_midfield,opponent_defense,sh_last_4_games,sot_last_4_games,dist_last_4_games,fk_last_4_games,pk_last_4_games,pkatt_last_4_games,xg_last_4_games,poss_last_4_games,opponent_sh_last_4_games,opponent_sot_last_4_games,opponent_dist_last_4_games,opponent_fk_last_4_games,opponent_pk_last_4_games,opponent_pkatt_last_4_games,opponent_xg_last_4_games,opponent_poss_last_4_games,datetime,hour
172,18.05.2024,Bundesliga,Matchweek 34,Bayer 04 Leverkusen,Sat,Home,W,2,1,2.4,1.2,65,1,2,1.2,2.4,35,30210,Lukáš Hrádecký,Ermedin Demirović,03.04.2003,4-1-2-1-2,Matthias Jöllenbeck,20,8,17.3,0,0,0,10,2,16.5,1,0,0,2024,FC Augsburg,64370000,24360000,3.25,1,1.1,2,0.5,3,2.425,0,82,82,83,81,74,76,74,75,15.5,5.5,20.225,1.5,0.75,0.75,2.35,53.25,12.5,1.5,17.95,0.5,0,0,1.05,38.5,18.05.2024 15:30,15
173,31.08.2024,Bundesliga,Matchweek 2,Bayer 04 Leverkusen,Sat,Home,L,2,3,2.2,1.1,62,3,2,1.1,2.2,38,29615,Jonathan Tah,Péter Gulácsi,03.04.2003,03.04.2003,Matthias Jöllenbeck,26,10,15.6,0,0,0,8,4,18.2,0,0,0,2025,RB Leipzig,74090000,100370000,3,2,1.6,3,1,0,1,3,83,82,84,82,80,81,80,80,24,9,18.3,1,0,1,2.7,57,13,3,14.7,0,0,0,1.3,62,31.08.2024 18:30,18
174,22.09.2024,Bundesliga,Matchweek 4,Bayer 04 Leverkusen,Sun,Home,W,4,3,1.9,0.7,78,3,4,0.7,1.9,22,29250,Lukáš Hrádecký,Maximilian Arnold,03.04.2003,4-1-4-1,Sascha Stegemann,20,7,16.4,0,0,0,9,4,22.1,0,0,0,2025,VfL Wolfsburg,74090000,52320000,3,2,1.2,2,1.666666667,1.666666667,2,1,83,82,84,82,76,76,76,75,23,8.333333333,16.56666667,0.666666667,0.333333333,0.666666667,2.8,59.66666667,13.33333333,3,18.63333333,0.333333333,0.333333333,0.333333333,1.566666667,45.33333333,22.09.2024 15:30,15
175,18.09.2020,Bundesliga,Matchweek 1,FC Bayern München,Fri,Home,W,8,0,3.9,0.2,63,0,8,0.2,3.9,37,0,Manuel Neuer,Benjamin Stambouli,4-2-3-1,04.04.2002,Felix Zwayer,20,10,16.9,1,1,1,5,1,20.5,0,0,0,2021,Schalke 04,224300000,60620000,0,0,0,0,0,0,0,0,84,92,85,82,74,74,75,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.09.2020 20:30,20
176,04.10.2020,Bundesliga,Matchweek 3,FC Bayern München,Sun,Home,W,4,3,3.6,1.1,66,3,4,1.1,3.6,34,0,Manuel Neuer,Dedryck Boyata,4-2-3-1,4-4-1-1,Benjamin Cortus,21,8,18.1,3,1,1,10,5,18.7,0,0,0,2021,Hertha BSC,224300000,37560000,4.5,2,1.4,1.5,2.5,2,1.1,1.5,84,92,85,82,76,77,76,75,18,6.5,16.4,0.5,0.5,0.5,2.65,67,12.5,6,17.1,0.5,0,0,1.5,55.5,04.10.2020 18:00,18
177,24.10.2020,Bundesliga,Matchweek 5,FC Bayern München,Sat,Home,W,5,0,3.1,0.4,61,0,5,0.4,3.1,39,0,Manuel Neuer,Makoto Hasebe,4-2-3-1,3-4-1-2,Markus Schmidt,20,9,15.8,0,0,0,8,2,19,0,0,0,2021,Eintracht Frankfurt,224300000,35180000,4.25,2,1.325,2.25,1.75,1,1.2,2,84,92,85,82,77,79,77,75,18.5,7.5,16.05,1,0.5,0.5,3,66.5,15,4.25,16.35,0.5,0.5,0.5,2.15,54.5,24.10.2020 15:30,15
178,21.11.2020,Bundesliga,Matchweek 8,FC Bayern München,Sat,Home,D,1,1,1.7,1.7,70,1,1,1.7,1.7,30,0,Manuel Neuer,Theodor Gebre Selassie,4-1-4-1,03.04.2003,Guido Winkmann,16,2,17.8,0,0,0,7,3,14.3,0,0,0,2021,Werder Bremen,224300000,29900000,3.5,1,1.2,3,1,1,1.175,1,84,92,85,82,74,73,74,75,14,7,15.7,0.25,0.25,0.25,2.125,59.5,11,3,21.75,1,0.5,0.5,1.075,45.5,21.11.2020 15:30,15
179,05.12.2020,Bundesliga,Matchweek 10,FC Bayern München,Sat,Home,D,3,3,1,1.5,61,3,3,1.5,1,39,0,Manuel Neuer,Marcel Sabitzer,4-2-3-1,04.03.2003,Daniel Siebert,9,5,16.4,0,0,0,7,4,16.6,0,0,0,2021,RB Leipzig,224300000,53870000,2.25,1.25,1.475,2.5,1.5,0.75,0.9,1.75,84,92,85,82,80,78,81,80,12.25,4.5,17.825,0.25,0.25,0.25,1.225,59.5,13.25,4,16.85,0.25,0.25,0.5,1.575,56.5,05.12.2020 18:30,18
180,16.12.2020,Bundesliga,Matchweek 12,FC Bayern München,Wed,Home,W,2,1,1.8,1,59,1,2,1,1.8,41,0,Manuel Neuer,Koen Casteels,4-1-4-1,4-2-3-1,Marco Fritz,11,2,13,0,0,0,17,6,21.6,1,0,0,2021,VfL Wolfsburg,224300000,57870000,2,1.5,1.425,1.5,2.75,1.5,1.175,2.5,84,92,85,82,78,78,78,77,12.75,4.5,18.525,0.25,0,0,1.175,63.75,16,6.75,17.05,0.75,0.25,0.25,2.2,57.75,16.12.2020 20:30,20
181,03.01.2021,Bundesliga,Matchweek 14,FC Bayern München,Sun,Home,W,5,2,4.3,1.3,72,2,5,1.3,4.3,28,0,Manuel Neuer,Danny Latza,4-2-3-1,4-1-2-1-2,Markus Schmidt,16,10,14.3,0,1,1,12,7,20.1,1,0,0,2021,FSV Mainz 05,224300000,19460000,2,1.5,1.025,2,0.25,1,0.95,0.25,84,92,85,82,73,72,73,73,11.5,3.75,16.975,0.5,0,0,1.25,59,10.75,2.5,16.5,0,0,0,1.45,48,03.01.2021 18:00,18
182,17.01.2021,Bundesliga,Matchweek 16,FC Bayern München,Sun,Home,W,2,1,2.7,0.8,59,1,2,0.8,2.7,41,0,Manuel Neuer,Christian Günter,4-2-3-1,03.04.2003,Christian Dingert,25,9,19.5,0,0,0,8,2,13.5,0,0,0,2021,SC Freiburg,224300000,14470000,2.75,1.75,0.95,2.25,3.5,0.5,0.95,3,84,92,85,82,74,75,75,73,14,4.25,16.6,0.25,0.5,0.5,2.175,61.75,12.25,5.25,15.55,0,0.5,0.5,2.125,42.25,17.01.2021 15:30,15
183,30.01.2021,Bundesliga,Matchweek 19,FC Bayern München,Sat,Home,W,4,1,2,1.9,60,1,4,1.9,2,40,0,Manuel Neuer,Oliver Baumann,4-2-3-1,03.05.2002,Benjamin Cortus,15,9,16,0,0,0,16,5,14.6,0,0,0,2021,TSG Hoffenheim,224300000,42870000,2.25,1,1.025,2.25,1.5,1,1.625,1.75,84,92,85,82,76,75,77,76,20.75,6.75,19.4,0,0.5,0.5,2.35,62.25,13.25,4.25,20.05,1,0.5,0.5,1.475,50.25,30.01.2021 15:30,15
184,15.02.2021,Bundesliga,Matchweek 21,FC Bayern München,Mon,Home,D,3,3,2.5,1.4,64,3,3,1.4,2.5,36,0,Manuel Neuer,Fabian Klos,4-2-3-1,4-2-3-1,Florian Badstübner,19,11,16.2,0,0,0,7,3,18.7,0,0,0,2021,DSC Arminia Bielefeld,224300000,9590000,2.5,0.25,1.325,3,1.25,2,1.425,1,84,92,85,82,72,72,72,71,17.75,7.5,17.55,0,0.25,0.5,2.325,61,8.75,3,16.975,0.25,0,0,1,45.25,15.02.2021 20:30,20
185,27.02.2021,Bundesliga,Matchweek 23,FC Bayern München,Sat,Home,W,5,1,2.3,1.4,55,1,5,1.4,2.3,45,0,Manuel Neuer,Timo Horn,4-2-3-1,03.05.2002,Martin Petersen,14,7,18.1,0,0,0,6,3,12.2,0,0,0,2021,FC Köln,224300000,29970000,2.25,1.5,1.5,1.75,1.25,1.25,1.15,1.5,84,92,85,82,74,74,74,72,17.25,7.75,16.25,0,0,0.25,2.2,61.25,9,2.5,19.35,0.5,0,0,0.775,43.5,27.02.2021 15:30,15
186,06.03.2021,Bundesliga,Matchweek 24,FC Bayern München,Sat,Home,W,4,2,3.1,0.6,66,2,4,0.6,3.1,34,0,Manuel Neuer,Marco Reus,4-2-3-1,03.04.2003,Marco Fritz,26,8,16.7,0,1,1,4,3,24,0,0,0,2021,Borussia Dortmund,224300000,90330000,2.5,1.5,1.375,1.75,2.5,1,1.125,1.75,84,92,85,82,81,87,81,81,17,7.25,16.775,0,0,0.25,2.275,60,13,5.75,16.775,0,0.25,0.25,1.875,61.25,06.03.2021 18:30,18
187,20.03.2021,Bundesliga,Matchweek 26,FC Bayern München,Sat,Home,W,4,0,2.4,1.1,43,0,4,1.1,2.4,57,0,Manuel Neuer,Gonzalo Castro,4-2-3-1,03.04.2003,Daniel Schlager,15,7,16.6,0,0,0,12,4,22.2,1,0,0,2021,VfB Stuttgart,224300000,18520000,3.25,1.5,1.1,2.25,2.25,0.5,1.25,2.5,84,92,85,82,73,74,73,72,20.75,6.75,15.65,0,0.25,0.25,2.875,59.5,10.25,4.5,18.15,0,0,0,1.05,45.25,20.03.2021 15:30,15
188,10.04.2021,Bundesliga,Matchweek 28,FC Bayern München,Sat,Home,D,1,1,0.8,1.3,59,1,1,1.3,0.8,41,0,Manuel Neuer,Christopher Trimmel,4-2-3-1,4-2-3-1,Tobias Stieler,14,2,17.1,0,0,0,7,2,13.2,0,0,0,2021,FC Union Berlin,224300000,17300000,3,0.75,0.825,3,1.25,1.75,1.225,1.25,84,92,85,82,73,75,72,73,17.75,6.5,15.425,0,0.25,0.25,2.5,53,14.75,4.25,14.75,0.25,0.25,0.25,1.875,51.75,10.04.2021 15:30,15
189,20.04.2021,Bundesliga,Matchweek 30,FC Bayern München,Tue,Home,W,2,0,1.7,0.6,60,0,2,0.6,1.7,40,0,Manuel Neuer,Charles Aránguiz,4-2-3-1,03.04.2003,Guido Winkmann,24,8,21.8,1,0,0,7,4,17.7,0,0,0,2021,Bayer 04 Leverkusen,224300000,56200000,2.25,0.75,1.1,2.5,1.25,1,1.025,1.75,84,92,85,82,79,78,78,78,13,5.5,16.35,0,0,0,1.425,50,8.25,3,14.675,0.25,0,0,1.2,57.75,20.04.2021 20:30,20
190,08.05.2021,Bundesliga,Matchweek 32,FC Bayern München,Sat,Home,W,6,0,3,1.1,57,0,6,1.1,3,43,0,Manuel Neuer,Yann Sommer,4-2-3-1,04.04.2002,Tobias Stieler,21,6,16.1,0,1,1,14,3,20.1,1,0,0,2021,Borussia Mönchengladbach,224300000,48380000,1.75,1.25,1.05,1.75,3.25,1.25,1.375,1.75,84,92,85,82,79,78,79,80,16.75,5.5,18.15,0.25,0,0,1.475,60.25,13,5,17.425,0,0.5,0.5,2,45.5,08.05.2021 18:30,18
191,22.05.2021,Bundesliga,Matchweek 34,FC Bayern München,Sat,Home,W,5,2,4.4,2,70,2,5,2,4.4,30,250,Manuel Neuer,Jeffrey Gouweleeuw,4-2-3-1,4-2-3-1,Markus Schmidt,26,13,13,1,0,0,8,3,20.5,0,0,1,2021,FC Augsburg,224300000,22920000,2.75,1,0.975,1.75,1.25,1.75,1.425,0.75,84,92,85,82,74,73,74,74,19,5.75,18.725,0.25,0.5,0.5,2.275,62,15,5.25,16.65,0.5,0.25,0.5,1.8,42.25,22.05.2021 15:30,15
192,22.08.2021,Bundesliga,Matchweek 2,FC Bayern München,Sun,Home,W,3,2,2.6,1.1,57,2,3,1.1,2.6,43,20000,Manuel Neuer,Jonas Hector,4-2-3-1,4-1-3-2,Martin Petersen,18,6,18,1,0,0,10,3,18.7,1,0,0,2022,FC Köln,237110000,28560000,1,1,2.3,1,3,1,1.8,3,84,92,85,82,75,76,75,74,21,9,12.4,0,0,0,2.5,65,14,5,14.2,0,0,0,1.6,59,22.08.2021 17:30,17
193,28.08.2021,Bundesliga,Matchweek 3,FC Bayern München,Sat,Home,W,5,0,2.8,0.4,63,0,5,0.4,2.8,37,25000,Manuel Neuer,Dedryck Boyata,4-2-3-1,4-2-3-1,Sven Jablonski,16,6,12.4,0,0,0,7,3,18.2,0,0,0,2022,Hertha BSC,237110000,31800000,2,1.5,1.7,2,1,2.5,1.3,0,84,92,85,82,74,74,75,74,19.5,7.5,15.2,0.5,0,0,2.55,61,11,4.5,19,1,0.5,0.5,1.5,41,28.08.2021 18:30,18
194,18.09.2021,Bundesliga,Matchweek 5,FC Bayern München,Sat,Home,W,7,0,5.6,0.4,69,0,7,0.4,5.6,31,25000,Manuel Neuer,Anthony Losilla,4-2-3-1,4-2-3-1,Tobias Welz,24,14,12.9,1,0,0,5,0,16.9,0,0,0,2022,VfL Bochum 1848,237110000,13510000,3.25,1,1.075,2.5,1,1.5,1.6,0.75,84,92,85,82,72,72,71,73,18,6.5,15.225,0.25,0.25,0.25,2.95,58.25,11,2.75,19.975,1.5,0,0,0.75,44.5,18.09.2021 15:30,15
195,03.10.2021,Bundesliga,Matchweek 7,FC Bayern München,Sun,Home,L,1,2,2.2,0.8,72,2,1,0.8,2.2,28,25000,Manuel Neuer,Martin Hinteregger,4-2-3-1,03.04.2003,Florian Badstübner,20,10,18.8,1,0,0,5,3,26.5,0,0,0,2022,Eintracht Frankfurt,237110000,35850000,4.75,0.5,0.5,3,1,1,0.9,1,84,92,85,82,76,76,77,75,17.25,7.25,16.625,0.25,0.25,0.25,3.275,61.75,10.75,3,19.2,0.25,0,0,0.95,52.25,03.10.2021 17:30,17
196,23.10.2021,Bundesliga,Matchweek 9,FC Bayern München,Sat,Home,W,4,0,2.8,0.7,61,0,4,0.7,2.8,39,60000,Manuel Neuer,Oliver Baumann,4-2-3-1,03.04.2003,Matthias Jöllenbeck,15,7,15.3,0,0,0,9,2,14.5,0,0,0,2022,TSG Hoffenheim,237110000,40270000,4,1,0.65,2.25,2.25,1,0.8,1.75,84,92,85,82,77,78,76,76,20.75,9.75,17.875,0.5,0,0,2.95,66.75,13.5,4.5,14.775,0.5,0,0,1.825,54.5,23.10.2021 15:30,15
197,06.11.2021,Bundesliga,Matchweek 11,FC Bayern München,Sat,Home,W,2,1,2.8,1,63,1,2,1,2.8,37,75000,Manuel Neuer,Christian Günter,4-2-3-1,03.04.2003,Sascha Stegemann,29,11,16.9,1,0,0,13,3,18.7,1,0,0,2022,SC Freiburg,237110000,11180000,3.75,1.25,0.775,2.25,2,0.75,1.2,2.5,84,92,85,82,75,73,74,76,18,8.25,16.475,0.25,0.25,0.25,2.85,63,12,4.25,17.175,0.5,0.25,0.25,1.275,50.75,06.11.2021 15:30,15
198,27.11.2021,Bundesliga,Matchweek 13,FC Bayern München,Sat,Home,W,1,0,2.2,0.3,73,0,1,0.3,2.2,27,12000,Manuel Neuer,Manuel Prietl,4-2-3-1,04.03.2003,Marco Fritz,22,9,15.4,0,0,0,8,0,20.3,0,0,0,2022,DSC Arminia Bielefeld,237110000,9880000,3,1.25,0.75,2.25,1.25,1.75,1.925,1,84,92,85,82,72,71,72,73,18,6.75,16.3,0.25,0.25,0.25,2.5,65.5,13.25,4,23.35,0,0.5,0.5,1.25,37.75,27.11.2021 18:30,18
199,11.12.2021,Bundesliga,Matchweek 15,FC Bayern München,Sat,Home,W,2,1,1.6,0.8,64,1,2,0.8,1.6,36,0,Manuel Neuer,Moussa Niakhate,4-2-3-1,03.05.2002,Benjamin Cortus,20,7,15.9,1,0,0,8,4,19.9,0,0,0,2022,FSV Mainz 05,237110000,17180000,1.75,1.25,0.725,2.25,1.5,1,1.2,1.25,84,92,85,82,74,74,74,75,21.25,7.25,17.85,0.75,0.25,0.25,2.325,66.75,15,4.75,18.05,0.75,0,0,0.975,47,11.12.2021 15:30,15
200,17.12.2021,Bundesliga,Matchweek 17,FC Bayern München,Fri,Home,W,4,0,3.6,1,63,0,4,1,3.6,37,0,Manuel Neuer,Koen Casteels,4-2-3-1,03.04.2003,Tobias Welz,25,9,17.2,0,0,0,9,2,12.1,0,0,0,2022,VfL Wolfsburg,237110000,61530000,2.75,0.75,0.875,3,0.75,2.75,1.95,0,84,92,85,82,77,77,78,76,20.75,8.25,17.3,0.75,0.25,0.25,2.6,61.5,16.75,4,18.9,1,0,0,1.625,48,17.12.2021 20:30,20
201,07.01.2022,Bundesliga,Matchweek 18,FC Bayern München,Fri,Home,L,1,2,1.9,1,62,2,1,1,1.9,38,0,Thomas Müller,Lars Stindl,4-2-3-1,3-1-4-2,Daniel Siebert,18,6,18,1,0,0,10,4,13,0,0,0,2022,Borussia Mönchengladbach,237110000,45180000,3.5,0.75,1.05,3,1,3.5,2.775,0.25,84,92,85,82,78,78,77,79,21.5,8.25,17.75,0.75,0.25,0.25,2.95,59,14,5,17.3,0,0.25,0.25,1.35,52,07.01.2022 20:30,20
202,05.02.2022,Bundesliga,Matchweek 21,FC Bayern München,Sat,Home,W,3,2,3.1,2.1,58,2,3,2.1,3.1,42,10000,Manuel Neuer,Péter Gulácsi,03.04.2003,03.04.2003,Sven Jablonski,23,7,17.3,1,0,0,12,7,13.2,0,0,0,2022,RB Leipzig,237110000,52400000,3.25,0.75,0.975,2.25,2,0.75,0.725,2.25,84,92,85,82,80,82,81,79,24,10.5,15.925,0.25,0,0,3.575,61.5,12,3.75,18.4,0.75,0.5,0.5,1.875,61.75,05.02.2022 18:30,18
203,20.02.2022,Bundesliga,Matchweek 23,FC Bayern München,Sun,Home,W,4,1,1.8,0.8,78,1,4,0.8,1.8,22,25000,Thomas Müller,Branimir Hrgota,4-2-3-1,4-1-2-1-2,Robert Hartmann,20,8,17.6,1,0,0,8,3,18.9,1,0,0,2022,SpVgg Greuther Fürth,237110000,12700000,3.25,1.75,1.35,2.25,1.75,2,1.675,1.75,84,92,85,82,71,70,70,70,24.25,9.5,15.8,0.75,0,0,3.45,60.75,9.75,3.75,18.075,1.25,0.5,0.5,1.375,45.25,20.02.2022 15:30,15
204,05.03.2022,Bundesliga,Matchweek 25,FC Bayern München,Sat,Home,D,1,1,1.6,2.1,68,1,1,2.1,1.6,32,25000,Thomas Müller,Lukáš Hrádecký,4-2-3-1,03.04.2003,Daniel Siebert,19,5,16.7,0,0,0,9,2,13,0,0,0,2022,Bayer 04 Leverkusen,237110000,47660000,2.5,1.75,1.3,2.25,3.5,1.75,1,2.25,84,92,85,82,79,83,79,78,21.25,7,17.375,1,0,0,2.3,67,14.5,6.75,15.725,0.25,0,0,1.75,58.75,05.03.2022 15:30,15
205,19.03.2022,Bundesliga,Matchweek 27,FC Bayern München,Sat,Home,W,4,0,2.7,1,70,0,4,1,2.7,30,37000,Manuel Neuer,Rani Khedira,4-1-4-1,03.05.2002,Harm Osmers,15,5,21,0,1,1,10,4,15.9,0,0,0,2022,FC Union Berlin,237110000,19780000,1.75,0.75,1.375,2,1,1,0.825,1,84,92,85,82,73,74,73,74,19.5,7.25,16.525,0.25,0,0,2.175,69,11.5,3,16.95,0,0.25,0.25,1.15,51.25,19.03.2022 18:30,18
206,09.04.2022,Bundesliga,Matchweek 29,FC Bayern München,Sat,Home,W,1,0,1.5,0.2,67,0,1,0.2,1.5,33,75000,Manuel Neuer,Jeffrey Gouweleeuw,4-2-3-1,04.04.2002,Patrick Ittrich,13,3,20.3,0,1,1,6,1,22,0,0,0,2022,FC Augsburg,237110000,24000000,2.5,0.75,1.35,2,2,1,1.325,2.25,84,92,85,82,74,73,74,74,18.25,6.75,17.775,0,0.25,0.25,2.325,65.25,10,3,18.425,0.25,0.25,0.25,1.225,40.75,09.04.2022 15:30,15
207,23.04.2022,Bundesliga,Matchweek 31,FC Bayern München,Sat,Home,W,3,1,1.7,1.3,58,1,3,1.3,1.7,42,75000,Manuel Neuer,Marco Reus,4-2-3-1,4-2-3-1,Daniel Siebert,14,6,16.5,0,0,0,6,1,19.2,0,1,1,2022,Borussia Dortmund,237110000,90190000,3,0.25,0.55,3,2.5,1.5,1.35,1.75,84,92,85,82,81,83,81,81,17.75,6.5,19.15,0,0.5,0.5,2.25,68.25,10.75,4.25,17.075,0.25,0,0,1.7,57,23.04.2022 18:30,18
208,08.05.2022,Bundesliga,Matchweek 33,FC Bayern München,Sun,Home,D,2,2,2.6,1.5,75,2,2,1.5,2.6,25,75000,Manuel Neuer,Wataru Endo,4-2-3-1,03.04.2003,Deniz Aytekin,22,7,13.6,0,0,0,15,5,18,0,0,0,2022,VfB Stuttgart,237110000,14730000,2,1,1.3,2.25,0.25,1.25,1.325,0.5,84,92,85,82,74,74,74,74,14,4.5,18.075,0,0.25,0.25,1.825,67,12.5,3.75,19.25,0.25,0,0,0.95,52.5,08.05.2022 17:30,17
209,14.08.2022,Bundesliga,Matchweek 2,FC Bayern München,Sun,Home,W,2,0,2,0.5,68,0,2,0.5,2,32,75000,Manuel Neuer,Maximilian Arnold,4-2-3-1,04.05.2001,Harm Osmers,24,8,18.4,0,0,0,8,2,19.1,2,0,0,2023,VfL Wolfsburg,262470000,44540000,6,1,0.9,3,2,2,0.8,1,85,86,85,83,76,76,77,76,23,10,16.6,1,0,0,4,63,11,3,19.8,0,0,0,1,61,14.08.2022 17:30,17
210,27.08.2022,Bundesliga,Matchweek 4,FC Bayern München,Sat,Home,D,1,1,2.8,0.5,69,1,1,0.5,2.8,31,75000,Manuel Neuer,Yann Sommer,4-2-2-2,4-2-3-1,Daniel Schlager,33,20,17.4,1,0,0,5,3,17.9,0,0,0,2023,Borussia Mönchengladbach,262470000,47800000,5,0.333333333,0.7,3,2,1,0.833333333,2.333333333,85,86,85,83,77,80,78,76,22.66666667,9.666666667,17.76666667,0.666666667,0.333333333,0.333333333,2.966666667,65,13.66666667,6.333333333,17.96666667,0.333333333,0.333333333,0.666666667,1.966666667,64,27.08.2022 18:30,18
211,10.09.2022,Bundesliga,Matchweek 6,FC Bayern München,Sat,Home,D,2,2,2.2,1.2,66,2,2,1.2,2.2,34,75000,Manuel Neuer,Wataru Endo,4-2-3-1,03.05.2002,Christian Dingert,19,6,17.5,1,0,0,6,2,23.9,0,1,1,2023,VfB Stuttgart,262470000,16100000,2.75,0.5,0.5,2,0.75,1,1,0.75,85,86,85,83,74,72,75,75,24.75,11.25,18.05,0.5,0.25,0.25,2.3,68.75,14.5,4.75,18.025,0,0,0,1.25,45.75,10.09.2022 15:30,15
212,30.09.2022,Bundesliga,Matchweek 8,FC Bayern München,Fri,Home,W,4,0,1.9,0.8,62,0,4,0.8,1.9,38,75000,Manuel Neuer,Lukáš Hrádecký,4-2-3-1,4-2-3-1,Tobias Stieler,20,9,16.6,2,0,0,10,5,16.4,0,0,0,2023,Bayer 04 Leverkusen,262470000,57330000,1,1.25,0.925,0.75,2,1.5,1.825,1.25,85,86,85,83,79,81,78,80,23,9.5,17.95,0.5,0,0,2.025,71.25,13.25,5.75,16.575,0.5,0,0,1.7,50.25,30.09.2022 20:30,20
213,16.10.2022,Bundesliga,Matchweek 10,FC Bayern München,Sun,Home,W,5,0,2.1,0.3,66,0,5,0.3,2.1,34,75000,Joshua Kimmich,Christian Günter,4-2-3-1,04.04.2002,Sascha Stegemann,16,8,18.4,0,0,0,6,0,17.5,0,0,0,2023,SC Freiburg,262470000,19590000,2,1.25,1.325,1.25,1,0.75,1.275,1.5,85,86,85,83,76,76,76,77,16.75,6,18.35,0.75,0,0,1.575,65,12,5.25,15.2,0.5,0,0,1.275,51,16.10.2022 19:30,19
214,29.10.2022,Bundesliga,Matchweek 12,FC Bayern München,Sat,Home,W,6,2,3.1,2.2,69,2,6,2.2,3.1,31,75000,Joshua Kimmich,Silvan Widmer,4-2-3-1,05.03.2002,Felix Zwayer,23,12,15.3,0,0,1,13,4,13.4,0,0,1,2023,FSV Mainz 05,262470000,21350000,3.25,0.5,0.875,2.5,2.25,0.75,1.25,1.75,85,86,85,83,75,76,75,74,16.5,7.25,17.35,0.5,0,0,1.75,60.5,12.5,5,18.375,0.5,0.25,0.25,1.3,43,29.10.2022 15:30,15
215,08.11.2022,Bundesliga,Matchweek 14,FC Bayern München,Tue,Home,W,6,1,4.4,1.3,61,1,6,1.3,4.4,39,75000,Manuel Neuer,Marco Friedl,4-2-3-1,3-1-4-2,Robert Hartmann,20,9,14.4,0,0,1,6,2,14.6,0,0,0,2023,Werder Bremen,262470000,23590000,4,1,1.125,3,0.75,1.25,1.45,1.5,85,86,85,83,73,76,71,74,18.5,8.25,16.175,0.25,0,0.25,2.375,66.25,12.75,3.25,17.975,0.75,0,0,1.025,50.75,08.11.2022 20:30,20
216,24.01.2023,Bundesliga,Matchweek 17,FC Bayern München,Tue,Home,D,1,1,1.4,0.8,77,1,1,0.8,1.4,23,75000,Joshua Kimmich,Jonas Hector,4-2-3-1,4-2-3-1,Tobias Stieler,25,7,17.3,0,0,0,3,1,7.5,0,0,0,2023,FC Köln,262470000,21380000,3,1,1,2.5,2,1.75,1.225,0.75,85,86,85,83,74,71,75,73,15.5,5.25,16.025,0.25,0,0.25,2.225,64.75,12.5,4.75,15.775,0.5,0,0,1.675,51.25,24.01.2023 20:30,20
217,28.01.2023,Bundesliga,Matchweek 18,FC Bayern München,Sat,Home,D,1,1,1.6,0.6,67,1,1,0.6,1.6,33,75000,Thomas Müller,Sebastian Rode,4-1-4-1,03.04.2003,Sven Jablonski,14,5,17.9,0,0,0,8,1,14.7,0,0,0,2023,Eintracht Frankfurt,262470000,33960000,2.5,0.75,0.9,2,2.25,1,1.75,2,85,86,85,83,78,79,77,76,18.25,6,16.075,0,0,0.25,2.1,66,10,3.75,17.2,0.5,0,0,1.5,52.5,28.01.2023 18:30,18
218,11.02.2023,Bundesliga,Matchweek 20,FC Bayern München,Sat,Home,W,3,0,3.7,0.3,64,0,3,0.3,3.7,36,75000,Thomas Müller,Anthony Losilla,3-1-4-2,4-2-3-1,Matthias Jöllenbeck,22,11,16.7,0,1,1,7,1,23.6,0,0,0,2023,VfL Bochum 1848,262470000,15700000,1.75,1.25,1.075,1.5,2.5,2.5,1.4,1.5,85,86,85,83,73,73,72,73,13.75,4.5,17.175,0,0,0,1.05,62.5,13,4.5,17.475,0.5,0,0,1.625,49.25,11.02.2023 15:30,15
219,26.02.2023,Bundesliga,Matchweek 22,FC Bayern München,Sun,Home,W,3,0,3.6,0.4,69,0,3,0.4,3.6,31,75000,Thomas Müller,Christopher Trimmel,4-2-3-1,03.05.2002,Marco Fritz,20,9,13.8,0,0,0,3,0,14.1,0,0,0,2023,FC Union Berlin,262470000,20430000,2.5,1.5,1.375,1.75,1.5,0.5,0.7,2.5,85,86,85,83,75,75,74,75,14.5,6.25,18.15,0,0.25,0.25,1.725,56.5,8,3.25,20.15,0,0.25,0.25,1.175,47.5,26.02.2023 17:30,17
220,11.03.2023,Bundesliga,Matchweek 24,FC Bayern München,Sat,Home,W,5,3,2.4,2.5,65,3,5,2.5,2.4,35,75000,Joshua Kimmich,Jeffrey Gouweleeuw,03.04.2003,4-2-3-1,Florian Badstübner,23,8,16.1,1,0,0,12,5,17.8,0,1,1,2023,FC Augsburg,262470000,26070000,2.5,1,0.975,2.25,1,1.5,1.475,1.5,85,86,85,83,74,73,73,74,17.25,7.75,15.95,0,0.25,0.25,2.625,60,10.5,2.5,17.675,0.25,0.25,0.25,1.05,47.5,11.03.2023 15:30,15
